"vertex","cluster","color"
10457,116,"#0073C2FF"
10459,165,"#CD534CFF"
10460,1406,"#7AA6DCFF"
2378,1406,"#7AA6DCFF"
10462,445,"#EFC000FF"
10463,182,"#868686FF"
10464,445,"#EFC000FF"
10465,445,"#EFC000FF"
580,1406,"#7AA6DCFF"
10466,445,"#EFC000FF"
10467,116,"#0073C2FF"
10468,445,"#EFC000FF"
10469,445,"#EFC000FF"
10485,584,"#3B3B3BFF"
10486,116,"#0073C2FF"
2380,1406,"#7AA6DCFF"
10487,445,"#EFC000FF"
10490,182,"#868686FF"
10514,165,"#CD534CFF"
10515,445,"#EFC000FF"
2381,488,"#003C67FF"
10516,533,"#8F7700FF"
2382,1406,"#7AA6DCFF"
10522,533,"#8F7700FF"
10524,533,"#8F7700FF"
10525,116,"#0073C2FF"
946,445,"#EFC000FF"
10527,116,"#0073C2FF"
10528,445,"#EFC000FF"
10529,445,"#EFC000FF"
10530,445,"#EFC000FF"
10531,533,"#8F7700FF"
10533,116,"#0073C2FF"
10534,445,"#EFC000FF"
10537,671,"white"
1623,116,"#0073C2FF"
10714,746,"white"
10716,445,"#EFC000FF"
10717,165,"#CD534CFF"
10719,445,"#EFC000FF"
10724,533,"#8F7700FF"
10725,116,"#0073C2FF"
10726,445,"#EFC000FF"
10727,445,"#EFC000FF"
10728,488,"#003C67FF"
10730,533,"#8F7700FF"
10731,445,"#EFC000FF"
10732,488,"#003C67FF"
10733,116,"#0073C2FF"
10734,116,"#0073C2FF"
7900,838,"white"
10740,533,"#8F7700FF"
10743,445,"#EFC000FF"
10744,445,"#EFC000FF"
10745,533,"#8F7700FF"
10746,629,"white"
10748,533,"#8F7700FF"
10750,533,"#8F7700FF"
10751,445,"#EFC000FF"
10752,630,"white"
10756,533,"#8F7700FF"
10758,445,"#EFC000FF"
10759,488,"#003C67FF"
10761,1406,"#7AA6DCFF"
10763,116,"#0073C2FF"
10764,106,"white"
2383,1406,"#7AA6DCFF"
10766,497,"white"
10768,848,"white"
10772,631,"white"
10775,445,"#EFC000FF"
10776,488,"#003C67FF"
10792,488,"#003C67FF"
10795,116,"#0073C2FF"
10796,116,"#0073C2FF"
10797,138,"#A73030FF"
1624,116,"#0073C2FF"
10821,138,"#A73030FF"
115,116,"#0073C2FF"
10822,165,"#CD534CFF"
10826,445,"#EFC000FF"
10827,116,"#0073C2FF"
10829,116,"#0073C2FF"
10830,116,"#0073C2FF"
10839,445,"#EFC000FF"
116,116,"#0073C2FF"
512,445,"#EFC000FF"
10875,33,"white"
9845,445,"#EFC000FF"
10892,445,"#EFC000FF"
10893,533,"#8F7700FF"
1432,584,"#3B3B3BFF"
10988,445,"#EFC000FF"
10989,116,"#0073C2FF"
10990,533,"#8F7700FF"
10992,116,"#0073C2FF"
10993,632,"white"
10995,182,"#868686FF"
10997,165,"#CD534CFF"
11001,116,"#0073C2FF"
11002,533,"#8F7700FF"
11003,671,"white"
11004,633,"white"
11006,182,"#868686FF"
11007,445,"#EFC000FF"
11008,445,"#EFC000FF"
11045,533,"#8F7700FF"
11046,445,"#EFC000FF"
11047,182,"#868686FF"
8125,445,"#EFC000FF"
11050,333,"white"
11052,533,"#8F7700FF"
11053,116,"#0073C2FF"
2386,1406,"#7AA6DCFF"
11057,394,"white"
11058,138,"#A73030FF"
11060,634,"white"
2387,1406,"#7AA6DCFF"
11062,445,"#EFC000FF"
11063,116,"#0073C2FF"
1311,445,"#EFC000FF"
11066,445,"#EFC000FF"
11067,116,"#0073C2FF"
11068,445,"#EFC000FF"
11069,1006,"white"
11071,182,"#868686FF"
11075,165,"#CD534CFF"
11076,445,"#EFC000FF"
11078,1406,"#7AA6DCFF"
11081,182,"#868686FF"
11083,591,"white"
11084,848,"white"
11085,445,"#EFC000FF"
8711,1406,"#7AA6DCFF"
11088,116,"#0073C2FF"
11089,182,"#868686FF"
11090,488,"#003C67FF"
11091,445,"#EFC000FF"
11092,533,"#8F7700FF"
8457,445,"#EFC000FF"
9846,445,"#EFC000FF"
11219,182,"#868686FF"
11220,445,"#EFC000FF"
11222,445,"#EFC000FF"
11223,116,"#0073C2FF"
11224,749,"white"
11227,138,"#A73030FF"
11228,116,"#0073C2FF"
11230,533,"#8F7700FF"
11231,488,"#003C67FF"
11232,116,"#0073C2FF"
11233,635,"white"
50,445,"#EFC000FF"
11709,1406,"#7AA6DCFF"
11715,445,"#EFC000FF"
11717,533,"#8F7700FF"
11718,533,"#8F7700FF"
11725,533,"#8F7700FF"
11726,636,"white"
11733,445,"#EFC000FF"
11734,381,"white"
11736,533,"#8F7700FF"
11737,750,"white"
11741,165,"#CD534CFF"
11766,445,"#EFC000FF"
11768,848,"white"
11773,533,"#8F7700FF"
11774,182,"#868686FF"
11775,488,"#003C67FF"
11776,116,"#0073C2FF"
11777,116,"#0073C2FF"
11778,182,"#868686FF"
