"vertex","cluster","color"
6635,1789,"#003C67FF"
80639,977,"#0073C2FF"
21845,418,"#EFC000FF"
80640,977,"#0073C2FF"
80641,977,"#0073C2FF"
8032,977,"#0073C2FF"
80642,1789,"#003C67FF"
80643,977,"#0073C2FF"
80644,977,"#0073C2FF"
80645,1789,"#003C67FF"
80646,977,"#0073C2FF"
57711,418,"#EFC000FF"
80648,287,"white"
80649,418,"#EFC000FF"
10390,977,"#0073C2FF"
80650,977,"#0073C2FF"
80651,1532,"white"
80652,977,"#0073C2FF"
12266,1789,"#003C67FF"
31913,1789,"#003C67FF"
8691,977,"#0073C2FF"
28808,1789,"#003C67FF"
73808,977,"#0073C2FF"
77656,1789,"#003C67FF"
