"","vertex","cluster","color"
"461",8499,138,"#A73030FF"
"462",8501,533,"#8F7700FF"
"463",8502,533,"#8F7700FF"
"464",8506,488,"#003C67FF"
"465",8507,165,"#CD534CFF"
"466",8508,533,"#8F7700FF"
"467",2324,116,"#0073C2FF"
"468",8520,445,"#EFC000FF"
"469",8521,182,"#868686FF"
"470",8524,488,"#003C67FF"
"471",8526,488,"#003C67FF"
"472",8528,533,"#8F7700FF"
"473",8529,182,"#868686FF"
"474",8530,533,"#8F7700FF"
"475",8531,445,"#EFC000FF"
"476",8532,445,"#EFC000FF"
"477",2051,445,"#EFC000FF"
"478",8542,611,"white"
"479",8544,445,"#EFC000FF"
"480",8545,445,"#EFC000FF"
"481",8596,116,"#0073C2FF"
"482",8597,265,"white"
"483",8599,445,"#EFC000FF"
"484",8395,445,"#EFC000FF"
"485",8600,584,"#3B3B3BFF"
"486",8601,116,"#0073C2FF"
"487",8602,116,"#0073C2FF"
"488",8603,612,"white"
"489",8606,116,"#0073C2FF"
"490",8607,1578,"white"
"491",8609,445,"#EFC000FF"
"492",2362,1406,"#7AA6DCFF"
"493",8610,671,"white"
"494",8611,116,"#0073C2FF"
"495",2363,1406,"#7AA6DCFF"
"496",8614,445,"#EFC000FF"
"497",8616,445,"#EFC000FF"
"498",1306,671,"white"
"499",8672,488,"#003C67FF"
"500",8679,165,"#CD534CFF"
"501",8685,4,"white"
"502",8686,182,"#868686FF"
"503",8688,116,"#0073C2FF"
"504",8689,182,"#868686FF"
"505",8690,182,"#868686FF"
"506",2364,1406,"#7AA6DCFF"
"507",8696,445,"#EFC000FF"
"508",503,445,"#EFC000FF"
"509",9144,165,"#CD534CFF"
"510",8460,1406,"#7AA6DCFF"
"511",9146,5,"white"
"512",2366,1406,"#7AA6DCFF"
"513",9152,613,"white"
"514",9157,116,"#0073C2FF"
"515",9158,577,"white"
"516",9159,445,"#EFC000FF"
"517",9160,488,"#003C67FF"
"518",2367,1406,"#7AA6DCFF"
